stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Projects\MyOldProjects\BingoReboot\build\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13881] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13883] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13884] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13886] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13888] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13890] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13892] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13894] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13896] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13898] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13900] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13902] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13904] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13906] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13907] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13909] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13911] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13913] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13914] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13918] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13922] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13925] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13928] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13932] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.13935] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13939] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.13941] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13944] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.13946] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13948] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.13951] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13953] Score is : 769
